2025-11-26 11:48:30,895 INFO    MainThread:37192 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_setup.py:_flush():80] Configure stats pid to 37192
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_setup.py:_flush():80] Loading settings from /root/.config/wandb/settings
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_setup.py:_flush():80] Loading settings from /root/tnpo/TOFU/wandb/settings
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /root/tnpo/TOFU/wandb/run-20251126_114830-y4gzpvxl/logs/debug.log
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /root/tnpo/TOFU/wandb/run-20251126_114830-y4gzpvxl/logs/debug-internal.log
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_init.py:init():840] calling init triggers
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'model_family': 'phi', 'forget_loss': 'tnpo', 'split': 'forget10', 'batch_size': 8, 'lr': 2e-05, 'num_epochs': 5, 'seed': 42, 'beta': 0.15, 'gamma': 1.0, 'weight_decay': 0.01, '_wandb': {}}
2025-11-26 11:48:30,896 INFO    MainThread:37192 [wandb_init.py:init():888] starting backend
2025-11-26 11:48:31,472 INFO    MainThread:37192 [wandb_init.py:init():891] sending inform_init request
2025-11-26 11:48:31,475 INFO    MainThread:37192 [wandb_init.py:init():899] backend started and connected
2025-11-26 11:48:31,477 INFO    MainThread:37192 [wandb_init.py:init():969] updated telemetry
2025-11-26 11:48:31,484 INFO    MainThread:37192 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-26 11:48:32,376 INFO    MainThread:37192 [wandb_init.py:init():1040] starting run threads in backend
2025-11-26 11:48:32,503 INFO    MainThread:37192 [wandb_run.py:_console_start():2504] atexit reg
2025-11-26 11:48:32,503 INFO    MainThread:37192 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-26 11:48:32,503 INFO    MainThread:37192 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-26 11:48:32,503 INFO    MainThread:37192 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-26 11:48:32,506 INFO    MainThread:37192 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-26 11:48:59,297 INFO    wandb-AsyncioManager-main:37192 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-26 11:48:59,297 INFO    wandb-AsyncioManager-main:37192 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
